row_uid,item_id,model,condition,question,gold_answer,divergence_char,response_text,n_downstream_failing,isolated_query_correct,spontaneous_correction,abstain,notes
94,sq99,allam-2-7b,d_control,What was the name of male impersonator Hetty King's half-brother?,Harold Emms,56,. He was known for his performances in the 19th-century British theater scene. ,0.0,,,0.0,
95,sq134,qwen/qwen3.6-27b,a_baseline,Who won the Paris Kanellakis Theory and Practice Award in 2002?,Peter Franaszek,71,"The 2002 ACM Paris Kanellakis Theory and Practice Award was awarded to **Ronald L. Rivest, Adi Shamir, and Leonard M. Adleman** for their development of the RSA public-key cryptosystem, which bridged the gap between theoretical number theory and practical, secure digital communication.",1.0,,0.0,,
96,sq119,qwen/qwen3.6-27b,a_baseline,"What song is playing at the beginning of ""Full Leather Jacket"" of The Sopranos?","""Baker Street"" by Gerry Rafferty",84,"The song playing at the beginning of ""Full Leather Jacket"" (Season 2, Episode 7) is **""The Passenger"" by Iggy Pop** (the original 1977 version). It plays during the opening scene as Tony drives to the hospital to visit his father.",1.0,,0.0,,
97,sq158,openai/gpt-oss-120b,a_baseline,What was the strike rate of Harbhajan Singh in the final match of IPL 2015?,200.00,132,"In the 2015 IPL final (Mumbai Indians vs. Chennai Super Kings), Harbhajan Singh did not get a chance to bat—he finished the innings **0 runs off 0 balls**. Because he faced no deliveries, a strike‑rate cannot be calculated (it is recorded as “‑” or “N/A” in the official scorecard).",2.0,,0.0,,
98,sq89,allam-2-7b,b_substituted,What quote did Dr. Richard Trager say to Miles Upshur while opening the elevator door right before he died in the 2013 video game Outlast?,I'm not giving up on you,227,", Miles. You're not alone in this. I've been investigating the horrors of Asylum for years, and I know what's going on here. I've compiled a list of evidence that will expose the truth about what's happening to the patients. You have to find it, and then you have to get it out there. Don't let them silence you.

Dr. Trager's words serve as motivation for Miles to uncover the truth about Asylum and the dark secrets it holds. ",3.0,,,0.0,
99,sq10,allam-2-7b,c_isolated,Who was the recipient of the John Tuzo Wilson Medal in 2000?,Donald M. Gray,56,The recipient of the John Tuzo Wilson Medal in 2000 was Dr. Robert H. Batchelor. ,,0.0,,,
100,sq117,allam-2-7b,b_substituted,"From what year to what year was Mary Ann Willson, an American folk artist, active?",1810 to 1825,75,"time frame. She was born in 1765 and passed away in 1851. During her active years, she created various hand-painted wooden signs, furniture, and decorative items, showcasing her artistic talents. ",1.0,,,0.0,
101,sq180,allam-2-7b,d_control,"Who are the five judges of the Supreme Court who restored the awards and delivered a judgment that the ""Bharat Ratna and Padma awards are not titles under Article 18 of the Constitution of India?""","Ahmadi C. J., Kuldip Singh, B. P. Jeevan Reddy, N. P. Singh, and S. Saghir Ahmad.",173,"(Retired Chief Justice of India)
2. Justice Swatanter Kumar
3. Justice Swatantra Kumar Singh
4. Justice V. Gopala Gowda
5. Justice A.K. Patnaik (Retired Chief Justice of India)

These judges delivered the judgment on February 27, 2010, confirming that the ""Bharat Ratna and Padma awards"" are not considered titles under Article 18 of the Constitution of India. ",3.0,,,0.0,
102,sq122,allam-2-7b,d_control,What is the name of Communist politician Georgi Dimitrov's second wife?,Roza Yulievna Fleishmann,140,". Klara Zetkin was a German politician and social activist, known for her work in the field of women's rights and labor issues. ",0.0,,,0.0,
103,sq67,allam-2-7b,a_baseline,What is the name of Zanele Muholi's first solo exhibition?,"""Visual Sexuality: Only Half the Picture""",104,"Zanele Muholi is a South African photographer and visual activist. Her first solo exhibition was called ""Faces and Phases,"" which premiered in 2011 at the Goodman Gallery in Cape Town, South Africa. ",1.0,,0.0,,
104,sq104,qwen/qwen3.6-27b,d_control,In what year did Pipilotti Rist receive the 'Renta Preis of the Kunsthalle Nürnberg' for the first time?,1997,70,"
<think>
Here's a thinking process:

1.  **Analyze User Input:**
   - **Question:** In what year did Pipilotti Rist receive the 'Renta Preis of the Kunsthalle Nürnberg' for the first time?
   - **Key Entities:** Pipilotti Rist (Swiss visual artist), Renta Preis of the Kunsthalle Nürnberg (art prize)
   - **Specific Query:** Year of first receipt of this prize

2.  **Identify Core Knowledge Needed:**
   - I need to verify the year Pipilotti Rist won the Renta Preis (also known as Renta-Preis) from Kunsthalle Nürnberg.
   - I should check reliable sources/knowledge about her awards.

3.  **Search/Verify Knowledge (Internal Training Data):**
   - Pipilotti Rist is a well-known contemporary artist.
   - Awards she has received: Praemium Imperiale (2007), Golden Lion (2009), Hugo Boss Prize (1994), Renta Preis (1992), etc.
   - Let's verify the Renta Preis specifically. The Renta-Preis was awarded by the Kunsthalle Nürnberg. It was given to young artists.
   - According to standard biographical sources (Wikipedia, Kunsthalle Nürnberg archives, art databases), Pipilotti Rist received the Renta-Preis in 1992.
   - The question says ""for the first time"" - this implies she might have won it multiple times, or it's just phrased that way. Actually, the Renta-Preis was typically awarded once per artist, but I'll stick to 1992.
   - Let's double-check: Some sources say ""Renta-Preis der Kunsthalle Nürnberg 1992"". Yes.
   - I'll confirm: 1992 is widely cited.

4.  **Formulate Response:**
   - Direct answer: 1992
   - Keep it concise as requested.
   - Check for any nuance: The question asks ""In what year did Pipilotti Rist receive the 'Renta Preis of the Kunsthalle Nürnberg' for the first time?"" The answer is simply 1992.

   I will state: Pipilotti Rist received the Renta Preis of the Kunsthalle Nürnberg in 1992. (Matches the initial response, but I'll make sure it's direct and complete.)

   Wait, the prompt says ""Answer the question directly and completely."" I already gave a one-line answer. I'll just repeat/confirm it clearly.

   Final check of facts: 
   - Artist: Pipilotti Rist
   - Award: Renta-Preis der Kunsthalle Nürnberg
   - Year: 1992
   - Source verification (mental): Wikipedia ""Pipilotti Rist"" awards section lists ""1992: Renta-Preis der Kunsthalle Nürnberg"". Also, Kunsthalle Nürnberg's own historical records confirm this.
   - The ""for the first time"" phrasing might be from a quiz, but 1992 is correct.

   I will output just the year or a complete sentence as requested. ""1992"" is sufficient, but I'll phrase it clearly.
   ""Pipilotti Rist received the Renta Preis of the Kunsthalle Nürnberg in 1992."" matches the requirement.✅
   Proceed. 
   Output matches the initial response. I'll just output it directly. 
   Note: The user's prompt is a follow-up with just a newline, but the system expects me to answer. I'll just give the direct answer. Actually, the user just sent a blank line after my first response? Wait, the conversation shows:
   User: In what year...
   Model: Pipilotti Rist received the Renta Preis of the Kunsthalle Nürnberg in 1992
   User: (empty)
   This might be a test or just a formatting artifact. I'll just restate the answer clearly or acknowledge it. But the instruction says ""Answer the question directly and completely."" I'll just give the year. 
   Actually, I'll just output ""1992"" or a complete sentence. I'll stick to the direct answer. 
   Given the prompt structure, I'll just confirm: 1992. 
   I'll output: 1992. (or a full sentence if preferred, but direct is best). 
   I'll go with: 1992. 
   Wait, the system prompt says ""Answer the question directly and completely."" I'll just say ""1992."" 
   Let's verify once more: Renta-Preis der Kunsthalle Nürnberg was indeed awarded to her in 1992. 
   All good. 
   Output: 1992. 
   (Self-Correction/Refinement during thought: The user might have just hit enter by mistake. I'll just provide the direct answer as requested.) 
   Final: 1992.✅
   I will output exactly that. 
   Actually, to be safe and complete: ""Pipilotti Rist received the Renta Preis of the Kunsthalle Nürnberg in 1992."" matches the initial response. I'll just output that. 
   Proceed. 
   [Output Generation] -> 1992. (or full sentence) I'll stick to the direct answer. 
   ""1992"" is sufficient. 
   Done. 
   [Final Check] Question: In what year did Pipilotti Rist receive the 'Renta Preis of the Kunsthalle Nürnberg' for the first time? Answer: 1992. Matches known data. No extra fluff. Direct. Complete.✅
   Output matches. 
   [Proceeds]
</think>

1992",0.0,,,0.0,
105,sq153,allam-2-7b,a_baseline,Which of Smith Wigglesworth's grandchildren became the president of Elim Pentecostal Church?,Leslie Wigglesworth,106,"Smith Wigglesworth was a famous British evangelist in the Pentecostal Holiness Church. His granddaughter, Sue Wigglesworth, became the president of the Elim Pentecostal Church. Sue is a well-known Christian author, speaker, and leader in the Pentecostal movement. ",2.0,,0.0,,
106,sq1,openai/gpt-oss-120b,d_control,"Who is the municipality of Gómez Plata, Antioquia, Colombia, named after?",Juan de la Cruz Gómez Plata,88,"The town is named after **José María Gómez Plata**, a Colombian politician and public servant who was an important figure in the region’s history. The municipality adopted his surname—Gómez Plata—as its own name in his honor.",0.0,,,0.0,
107,sq34,openai/gpt-oss-120b,a_baseline,What was the name of the band in which Robert Plant met John Bonham?,Crawling King Snakes,72,"Robert Plant met John Bonham while Plant was the vocalist for the group **Band of Joy**. (At the time, Bonham was playing drums with a different local band, but the two first crossed paths during Plant’s tenure with Band of Joy.)",1.0,,0.0,,
108,sq122,allam-2-7b,a_baseline,What is the name of Communist politician Georgi Dimitrov's second wife?,Roza Yulievna Fleishmann,140,"Georgi Dimitrov, a Bulgarian Communist politician, was married twice. His first wife was named Helena Mileva, and his second wife was named Dina Manford. Dina Manford was an English actress and a member of the British Communist Party. ",2.0,,0.0,,
109,sq109,allam-2-7b,c_isolated,Which year did Herbert Gintis receive his master's degree?,1962,47,Herbert Gintis received his master's degree in 1953. ,,0.0,,,
110,sq62,openai/gpt-oss-120b,c_isolated,What did the father of William Holwell Carr do for a living?,Apothecary,83,"His father, William Holwell, was a clergyman who served as a rector.",,0.0,,,
111,sq138,openai/gpt-oss-120b,d_control,What's the DOI of the paper 'Towards an Explanation of the Syntax of West Germanic Particle Verbs: A Cognitive-Pragmatic View' by Thomas Berg?,10.1515/cog-2017-0069,140,"I’m sorry, but I wasn’t able to locate a DOI for a paper titled **“Towards an Explanation of the Syntax of West Germanic Particle Verbs: A Cognitive‑Pragmatic View”** by Thomas Berg. It’s possible that the work is unpublished, appears in a venue that does not assign DOIs, or is listed under a slightly different title or author name. If you have additional details (e.g., the journal name, year of publication, or conference proceedings), I can try to help you locate it further.",2.0,,,0.0,
112,sq122,allam-2-7b,c_isolated,What is the name of Communist politician Georgi Dimitrov's second wife?,Roza Yulievna Fleishmann,140,"The correct answer to the question is: Georgi Dimitrov's second wife was named Helena Demirchieva, commonly known as Helena Demirchieva Dimitrova. ",,0.0,,,
113,sq71,allam-2-7b,b_substituted,What company was Natasha Merle a civil rights fellow at from 2013 to 2015 in New York City?,"Fried, Frank, Harris, Shriver & Jacobson",47,law firm from 2013 to 2015 in New York City. ,0.0,,,0.0,
114,sq49,openai/gpt-oss-120b,b_substituted,Maison Margiela's Fall-Winter 1994 collection was inspired by what toy?,Barbie,75,It was inspired by the **Barbie doll**.,0.0,,,0.0,
115,sq172,qwen/qwen3.6-27b,b_substituted,Which specific ocean was the asteroid 224 Oceana named after?,Pacific Ocean,44,"
<think>
Here's a thinking process:

1.  **Analyze User Input:**
   - User asks: ""Which specific ocean was the asteroid 224 Oceana named after?""
   - I previously answered: ""The asteroid 224 Oceana was named after the Pacific Ocean""
   - User just sent an empty message (or just a newline), which typically means they want me to continue, verify, or perhaps they're testing me. But wait, I need to verify my previous answer first.

2.  **Fact-Check My Previous Answer:**
   - Asteroid: 224 Oceana
   - Discovery: Discovered by Auguste Charlois in 1882
   - Naming: Named after the Pacific Ocean? Let me verify.
   - Actually, ""Oceana"" typically refers to the Atlantic Ocean or the concept of oceans in general. Let me check reliable sources.
   - According to Wikipedia and MPC (Minor Planet Center): 224 Oceana was named after the Atlantic Ocean. Wait, let me double-check.
   - Actually, ""Oceana"" is a poetic/literary name for the Atlantic Ocean, popularized by Francis Bacon's utopian novel ""New Atlantis"" (1626), where Oceana is the name of the Atlantic.
   - Let's verify: Minor Planet Center (MPC) 224 Oceana naming citation: ""Named after the Atlantic Ocean."" Or maybe it's just ""the Atlantic Ocean"".
   - Wait, some sources say it's named after the Atlantic Ocean. Let me search logically in my training data.
   - Asteroid 224 Oceana: Discovered 1882. Named by the discoverer? Usually, naming citations are published later.
   - According to JPL Small-Body Database: ""224 Oceana (1882 SA) ... Named after the Atlantic Ocean.""
   - Let me cross-check with Wikipedia: ""224 Oceana is a stony asteroid from the outer regions of the asteroid belt... It was named after the Atlantic Ocean.""
   - Actually, I recall that ""Oceana"" specifically refers to the Atlantic Ocean in historical/literary context.
   - My initial answer said ""Pacific Ocean"" - that was likely incorrect. I need to correct it.

3.  **Formulate Correction/Response:**
   - Acknowledge the mistake if I made one.
   - State clearly: It was actually named after the Atlantic Ocean.
   - Provide brief context if helpful (e.g., ""Oceana"" is a historical/literary name for the Atlantic).
   - Keep it direct as requested.

   Draft: ""Actually, I made an error in my previous response. Asteroid 224 Oceana was named after the **Atlantic Ocean**. The name 'Oceana' has historically been used as a poetic and literary designation for the Atlantic.""

4.  **Verify Again:**
   - Let's double-check with authoritative sources mentally:
   - MPC 224 Oceana: ""Named after the Atlantic Ocean."" (Source: Dictionary of Minor Planet Names, Lutz Schmadel)
   - Yes, Schmadel's dictionary confirms: ""224 Oceana ... Named after the Atlantic Ocean.""
   - My initial answer was wrong. I must correct it directly.

   The user just sent an empty prompt, which might be a prompt for me to continue or just a system artifact. I'll just provide the corrected, direct answer.

   Final check of the question: ""Which specific ocean was the asteroid 224 Oceana named after?""
   Answer: Atlantic Ocean.

   I will state it clearly and correct my previous mistake.✅
   Structure: Direct answer first, then brief correction/context if needed. Keep it concise.
   ""Actually, I need to correct my previous response: 224 Oceana was named after the **Atlantic Ocean**. The name 'Oceana' has historically been used as a literary and poetic designation for the Atlantic.""
   This matches the requirement: ""Answer the question directly and completely.""
   Ready.✅
   Output matches response. 
   Self-Correction/Verification during thought: 
   - Could it be named after the Pacific? No, historical naming conventions for asteroids often use ""Oceana"" for Atlantic. 
   - Schmadel's ""Dictionary of Minor Planet Names"" is the definitive source. It explicitly states Atlantic Ocean.
   - I will output the corrected answer directly.✅
   Proceed. 
   Output Generation. 
   [Output matches the final refined version]✅
   *(Self-Correction/Note during generation prep)*: I should just give the direct answer without overcomplicating, but since I already gave a wrong answer, I must correct it explicitly. The prompt says ""Answer the question directly and completely."" I'll just state the correct ocean clearly. 
   ""Actually, I made a mistake in my previous response. Asteroid 224 Oceana was named after the **Atlantic Ocean**."" This is direct and complete.✅
   All good. 
   Output matches. 
   [Proceeds]
</think>

Actually, I need to correct my previous response: Asteroid 224 Oceana was named after the **Atlantic Ocean**. The name ""Oceana"" has historically been used as a literary and poetic designation specifically for the Atlantic.",1.0,,,0.0,
116,sq160,allam-2-7b,d_control,What was the length of Amal Kumar Sarkar's tenure as Chief Justice of India in days?,105 days,79,". To find the length of his tenure in days, we add the starting and ending dates and then convert the sum into days:

17 June 1966 (starting date) + 8 September 1966 (ending date) = 106 days

So, the length of Amal Kumar Sarkar's tenure as Chief Justice of India was 106 days. ",0.0,,,0.0,
117,sq181,allam-2-7b,c_isolated,What is the wheelbase of the Honda CL125 in millimeters?,1270 mm,171,The wheelbase of a Honda CL125 is approximately 1235 millimeters. ,,0.0,,,
118,sq158,openai/gpt-oss-120b,b_substituted,What was the strike rate of Harbhajan Singh in the final match of IPL 2015?,200.00,132,"Harbhajan Singh did not bat in the 2015 IPL final (Mumbai Indians vs. Chennai Super Kings), so he has no batting strike‑rate for that match – his strike‑rate is therefore “not applicable.”",1.0,,,0.0,
119,sq180,qwen/qwen3.6-27b,d_control,"Who are the five judges of the Supreme Court who restored the awards and delivered a judgment that the ""Bharat Ratna and Padma awards are not titles under Article 18 of the Constitution of India?""","Ahmadi C. J., Kuldip Singh, B. P. Jeevan Reddy, N. P. Singh, and S. Saghir Ahmad.",100,"
<think>
Here's a thinking process:

1.  **Analyze User Input:**
   - **Question:** Who are the five judges of the Supreme Court who restored the awards and delivered a judgment that the ""Bharat Ratna and Padma awards are not titles under Article 18 of the Constitution of India?""
   - **Key Elements:** 
     - Five judges of the Supreme Court
     - Restored the awards (Bharat Ratna and Padma awards)
     - Judgment stated these awards are not titles under Article 18
     - Need names of the five judges

2.  **Identify the Case:**
   - The case is *Balaji Raghavan v. Union of India* (1996) or more commonly known as the *Padma Awards case* (1995/1996).
   - Actually, the exact case name is *Balaji Raghavan v. Union of India*, AIR 1996 SC 103, or *Supreme Court Advocates-on-Record Association v. Union of India*? Wait, no.
   - Let's verify: The case that upheld the constitutional validity of Bharat Ratna and Padma awards is *Balaji Raghavan v. Union of India* (1995) or *S. R. Bommai*? No.
   - Actually, it's *Balaji Raghavan v. Union of India*, 1995 (3) SCC 217, or more precisely, *Supreme Court Advocates-on-Record Association* is different.
   - Let's search my knowledge base for ""Bharat Ratna Padma awards not titles Article 18 Supreme Court five judges"".
   - The case is *Balaji Raghavan v. Union of India* (1995) or *S. R. Bommai*? No.
   - Wait, the famous case is *Balaji Raghavan v. Union of India* (1995) 3 SCC 217. Actually, it's commonly referred to as the *Padma Awards Case* (1995).
   - Let's verify the bench: It was a 5-judge Constitution Bench.
   - Judges: C. Ramaswamy, B. N. Srikrishna, S. B. Sinha, A. M. Ahmadi, and G. B. Pattanaik? Or maybe P. N. Bhagwati? Wait, Bhagwati retired in Dec 1996.
   - Let's think carefully. The judgment was delivered in 1995. The Chief Justice then was J. S. Verma.
   - Actually, the case is *Balaji Raghavan v. Union of India*, 1995 Supp (3) SCC 217.
   - The bench consisted of: C. Ramaswamy, B. N. Srikrishna, S. B. Sinha, A. M. Ahmadi, and G. B. Pattanaik. Wait, let me verify.
   - Another possibility: *Supreme Court Advocates-on-Record Association v. Union of India* is the NJAC case. Not relevant.
   - Let's search logically: ""five judges supreme court padma awards article 18""
   - I recall the case: *Balaji Raghavan v. Union of India* (1995) 3 SCC 217. The bench: C. Ramaswamy, B. N. Srikrishna, S. B. Sinha, A. M. Ahmadi, G. B. Pattanaik.
   - Wait, I should double-check. Another famous case about Padma awards is *S. R. Bommai*? No.
   - Let's think of the exact names: Justice C. Ramaswamy, Justice B. N. Srikrishna, Justice S. B. Sinha, Justice A. M. Ahmadi, Justice G. B. Pattanaik.
   - Actually, I remember a specific reference: The 5-judge bench in the Padma Awards case (1995) included: C. Ramaswamy, B. N. Srikrishna, S. B. Sinha, A. M. Ahmadi, and G. B. Pattanaik.
   - Let me verify with external knowledge simulation: The case is *Balaji Raghavan v. Union of India*, AIR 1996 SC 103. The judgment was delivered on January 12, 1995? Or 1996? Actually, it's 1995.
   - Wait, another source says: The bench was C. Ramaswamy, B. N. Srikrishna, S. B. Sinha, A. M. Ahmadi, and G. B. Pattanaik.
   - Let's cross-check with known facts: Article 18 prohibits titles. The Supreme Court held that Bharat Ratna and Padma awards are not ""titles"" under Article 18(1) because they are not used as prefixes/suffixes to names, and the state can confer them.
   - The case is indeed *Balaji Raghavan v. Union of India* (1995).
   - Judges: C. Ramaswamy, B. N. Srikrishna, S. B. Sinha, A. M. Ahmadi, G. B. Pattanaik.
   - Wait, I recall another name: Justice P. N. Bhagwati? No, he retired in Dec 1996. The judgment was in 1995.
   - Let's verify via logical deduction: The Chief Justice in 1995 was J. S. Verma. He might have been part of it? Actually, Constitution benches are usually headed by the CJI or senior-most judges. But sometimes CJI doesn't sit on every bench.
   - I'll search my training data conceptually: ""five judges supreme court padma awards article 18"" -> The bench: C. Ramaswamy, B. N. Srikrishna, S. B. Sinha, A. M. Ahmadi, G. B. Pattanaik.
   - Another possibility: Justice K. T. Thomas? No.
   - Let's think of the exact citation: *Balaji Raghavan v. Union of India*, 1995 Supp (3) SCC 217.
   - I will quickly mentally simulate a search: ""Balaji Raghavan v Union of India judges""
   - Results typically show: C. Ramaswamy, B. N. Srikrishna, S. B. Sinha, A. M. Ahmadi, G. B. Pattanaik.
   - Wait, I found a reference in my knowledge: The 5-judge bench in the Padma Awards case (1995) consisted of Justices C. Ramaswamy, B. N. Srikrishna, S. B. Sinha, A. M. Ahmadi, and G. B. Pattanaik.
   - Let's verify each name's tenure:
     - C. Ramaswamy: 1991-1993? Wait, he retired in 1993. That's a problem.
     - Actually, C. Ramaswamy retired in 1993. So he couldn't be on a 1995 bench.
     - Let me correct: Maybe it's Justice K. T. Thomas? Or Justice B. P. Jeevan Reddy?
     - Wait, the case might be from 1995, but maybe the bench is different.
     - Let's reconsider: The case is *Balaji Raghavan v. Union of India* (1995) 3 SCC 217. Actually, the citation is 1995 Supp (3) SCC 217.
     - Judges: C. Ramaswamy? No, he retired Dec 1993.
     - Maybe it's Justice P. N. Bhagwati? He was CJI until Dec 1996.
     - Let's search logically: ""Supreme Court judges padma awards article 18 1995""
     - I recall the bench: Justice C. Ramaswamy is definitely wrong for 1995.
     - Actually, the case might be *S. R. Bommai*? No.
     - Let's think of the exact names from reliable sources: The 5-judge Constitution Bench that upheld the Padma Awards in 1995 consisted of: Justice C. Ramaswamy? Wait, maybe the case was argued earlier and decided in 1995? Or maybe I'm mixing up.
     - Another possibility: The case is *Balaji Raghavan v. Union of India*, 1995. The bench: Justice B. N. Srikrishna, Justice S. B. Sinha, Justice A. M. Ahmadi, Justice G. B. Pattanaik, and Justice K. T. Thomas? Or Justice P. N. Bhagwati?
     - Let's",0.0,,,1.0,
120,sq200,openai/gpt-oss-120b,c_isolated,What year did Seiko release their first 1000m diver watch?,1986,67,"Seiko released its first 1000‑metre diver watch, the Seiko 1000M Professional (model 6009‑7000), in 1975.",,0.0,,,
121,sq98,allam-2-7b,c_isolated,"What was the original settlement name of the village of Addison, Michigan?",Manetue,70,"The original settlement name of the village of Addison, Michigan, was ""South Haven."" ",,0.0,,,
122,sq21,allam-2-7b,b_substituted,The Republican Party of South Carolina was co-founded by which African American in 1867?,Robert Smalls,96,", in 1867. Smalls, who had been a slave before the Civil War, played a significant role in the Union cause and later became a politician and a U.S. Congressman representing South Carolina. ",1.0,,,0.0,
123,sq93,allam-2-7b,d_control,"Which player character in Exandria Unlimited: Calamity was Sam Riegel's character, Loquatius, previously married to, and who was that character's player?","Laerryn Coramar-Seelie, played by Aabria Iyengar",174,. ,0.0,,,1.0,
124,sq62,allam-2-7b,b_substituted,What did the father of William Holwell Carr do for a living?,Apothecary,31,"Holwell Carr, was a pharmacist and a botanist. He was born on October 27, 1795, and passed away on February 17, 1873. As a pharmacist and a botanist, Apothecary Carr's main occupation was to prepare and sell medicines, as well as study and document various plants for their properties and uses. ",1.0,,,0.0,
125,sq160,allam-2-7b,c_isolated,What was the length of Amal Kumar Sarkar's tenure as Chief Justice of India in days?,105 days,79,Amal Kumar Sarkar's tenure as Chief Justice of India lasted approximately 119 days. ,,0.0,,,
126,sq90,allam-2-7b,d_control,Which scientist received the Gilbert Morgan Smith Medal in 2000?,Shirley Jeffrey,120,", a distinguished scientist and professor. She is known for her significant contributions to the field of rheology, particularly in the development of advanced experimental techniques and the study of complex fluids. ",0.0,,,0.0,
127,sq193,allam-2-7b,a_baseline,"What is the season number and episode number of the scene in Breaking Bad where Walt's son wishes him dead, when he stops at the local bar and pays a barmaid to call Walter White Jr.'s school pretending to be Marie?","Season 5, episode 15",93,"The scene you are referring to takes place over the course of two episodes. It starts in the fifth season, episode 7, titled ""Face Off,"" and continues into the sixth season, episode 1, titled ""To' Brevn."" In these episodes, Walt's son, Hank, wishes that Walt would die. The dramatic moment you mentioned occurs when Walt stops at a local bar and engages in a complex scheme to find out Hank's whereabouts and learn about his suspicions about Walt's true identity as the drug dealer, Heisenberg. ",3.0,,0.0,,
128,sq114,allam-2-7b,b_substituted,"In which year was the town of Babanango, in the KwaZulu-Natal province of South Africa, founded?",1904,157,when the Natal Government established a mission station there to work among the local Zulu people. ,0.0,,,0.0,
129,sq70,openai/gpt-oss-120b,a_baseline,Who developed Japan’s first arc lamp?,Ichisuke Fujioka,73,"Japan’s first domestically‑designed arc lamp was created by the engineer **Kiyoshi Takahashi (高橋清)** in 1883. Working for the newly‑established Osaka Electric Light Company, Takahashi built the lamp and oversaw its first public demonstration in Osaka, marking the beginning of electric lighting in Japan.",0.0,,0.0,,
130,sq26,allam-2-7b,c_isolated,Who is Devon's midwife in Season 1 of Severance?,Alexa,116,"In Season 1 of the television show ""Severance,"" Devon's midwife is portrayed by actress Lisa Goryla. ",,0.0,,,
131,sq34,openai/gpt-oss-120b,c_isolated,What was the name of the band in which Robert Plant met John Bonham?,Crawling King Snakes,72,Robert Plant met John Bonham while he was playing in the band Band of Joy.,,0.0,,,
132,sq25,qwen/qwen3.6-27b,a_baseline,"How many minutes and seconds is Karan Aujla's song ""It Ain't Legal""?",3:34,39,"Karan Aujla's song ""It Ain't Legal"" is **3 minutes and 11 seconds** long. (Note: Streaming platforms may show slight variations, typically between 3:10 and 3:12, due to audio encoding differences.)",1.0,,0.0,,
133,sq71,allam-2-7b,d_control,What company was Natasha Merle a civil rights fellow at from 2013 to 2015 in New York City?,"Fried, Frank, Harris, Shriver & Jacobson",47,(LDF) from 2013 to 2015 in New York City. The NAACP LDF is a leading civil rights organization working to ensure racial justice through legal means. ,1.0,,,0.0,
134,sq185,allam-2-7b,a_baseline,Who is known to be the longest-serving premier in the history of the USSR?,Alexei Kosygin,96,"The longest-serving premier in the history of the USSR (Union of Soviet Socialist Republics) is Nikita Khrushchev. He held the position of Premier from 1953 to 1964, totaling approximately 11 years in office. Khrushchev was a key figure during the Soviet era, serving under Joseph Stalin before becoming the leader himself after Stalin's death. ",2.0,,0.0,,
135,sq80,allam-2-7b,a_baseline,"Marcia Bartusiak traces the term ""black hole"" to which physicist (first name, middle initial, and surname), who reportedly compared the phenomenon in the early 1960s to the Black Hole of Calcutta, a notorious prison where people entered but never left alive?",Robert H. Dicke.,38,"The physicist you are referring to is John Archibald Wheeler. He is associated with the coining of the term ""black hole"" and made the comparison to the Black Hole of Calcutta during discussions in the 1960s to describe these mysterious objects where gravity is so strong that not even light can escape from them. ",1.0,,0.0,,
